date,type,locale,locale_name,description_English,description,transferred
2016-12-25,Holiday,National,Ecuador,Christmas-1 Christmas-1,Navidad,FALSE
2016-12-26,Additional,National,Ecuador,Christmas+1,Navidad+1,FALSE
2016-12-31,Additional,National,Ecuador,First day of the year-1,Primer dia del ano-1,FALSE
2017-01-01,Holiday,National,Ecuador,First day of the year,Primer dia del ano,TRUE
2017-01-02,Transfer,National,Ecuador,Transfer First day of the year,Traslado Primer dia del ano,FALSE
2017-02-27,Holiday,National,Ecuador,Carnival,Carnaval,FALSE
2017-02-28,Holiday,National,Ecuador,Carnival,Carnaval,FALSE
2017-03-02,Holiday,Local,Manta,Foundation of Manta,Fundacion de Manta,FALSE
2017-04-01,Holiday,Regional,Cotopaxi,Provincialization of Cotopaxi,Provincializacion de Cotopaxi,FALSE
2017-04-12,Holiday,Local,Cuenca,Foundation of Cuenca,Fundacion de Cuenca,TRUE
2017-04-13,Transfer,Local,Cuenca,Founding of Cuenca,Fundacion de Cuenca,FALSE
2017-04-14,Holiday,Local,Libertad,Cantonization of Libertad,Cantonizacion de Libertad,FALSE
2017-04-14,Holiday,National,Ecuador,Good Friday,Viernes Santo,FALSE
2017-04-21,Holiday,Local,Riobamba,Cantonization of Riobamba,Cantonizacion de Riobamba,FALSE
2017-05-01,Holiday,National,Ecuador,Labor Day,Dia del Trabajo,FALSE
2017-05-12,Holiday,Local,Puyo,Cantonization of Puyo,Cantonizacion del Puyo,FALSE
2017-05-13,Additional,National,Ecuador,Mother's Day-1,Dia de la Madre-1,FALSE
2017-05-14,Event,National,Ecuador,Mother's Day,Dia de la Madre,FALSE
2017-05-24,Holiday,National,Ecuador,Battle of Pichincha,Batalla de Pichincha,TRUE
2017-05-26,Transfer,National,Ecuador,Transfer Battle of Pichincha,Traslado Batalla de Pichincha,FALSE
2017-06-23,Holiday,Local,Guaranda,Cantonization of Guaranda,Cantonizacion de Guaranda,FALSE
2017-06-25,Holiday,Regional,Imbabura,Provincialization of Imbabura,Provincializacion de Imbabura,FALSE
2017-06-25,Holiday,Local,Latacunga,Cantonization of Latacunga,Cantonizacion de Latacunga,FALSE
2017-06-25,Holiday,Local,Machala,Founding of Machala,Fundacion de Machala,FALSE
2017-07-03,Holiday,Local,El Carmen,Cantonization of El Carmen,Cantonizacion de El Carmen,FALSE
2017-07-03,Holiday,Local,Santo Domingo,Founding of Santo Domingo,Fundacion de Santo Domingo,FALSE
2017-07-23,Holiday,Local,Cayambe,Cantonization of Cayambe,Cantonizacion de Cayambe,FALSE
2017-07-24,Additional,Local,Guayaquil,Foundation of Guayaquil-1,Fundacion de Guayaquil-1,FALSE
2017-07-25,Additional,Local,Guayaquil,Foundation of Guayaquil,Fundacion de Guayaquil,FALSE
2017-08-05,Holiday,Local,Esmeraldas,Foundation of Esmeraldas,Fundacion de Esmeraldas,FALSE
2017-08-10,Holiday,National,Ecuador,First Cry of Independence,Primer Grito de Independencia,TRUE
2017-08-11,Transfer,National,Ecuador,Transfer of the First Cry of Independence,Traslado Primer Grito de Independencia,FALSE
2017-08-15,Holiday,Local,Riobamba,Foundation of Riobamba,Fundacion de Riobamba,FALSE
2017-08-24,Holiday,Local,Ambato,Foundation of Ambato,Fundacion de Ambato,FALSE
2017-09-28,Holiday,Local,Ibarra,Foundation of Ibarra,Fundacion de Ibarra,TRUE
2017-09-29,Transfer,Local,Ibarra,Foundation of Ibarra,Fundacion de Ibarra,FALSE
2017-10-07,Holiday,Local,Quevedo,Cantonization of Quevedo,Cantonizacion de Quevedo,FALSE
2017-10-09,Holiday,National,Ecuador,Independence of Guayaquil,Independencia de Guayaquil,FALSE
2017-11-02,Holiday,National,Ecuador,Day of the Dead,Dia de Difuntos,FALSE
2017-11-03,Holiday,National,Ecuador,Independence of Cuenca,Independencia de Cuenca,FALSE
2017-11-06,Holiday,Regional,Santo Domingo de los Tsachilas,Provincialization of Santo Domingo,Provincializacion de Santo Domingo,FALSE
2017-11-07,Holiday,Regional,Santa Elena,Provincialization of Santa Elena,Provincializacion Santa Elena,FALSE
2017-11-10,Holiday,Local,Guaranda,Independence of Guaranda,Independencia de Guaranda,FALSE
2017-11-11,Holiday,Local,Latacunga,Independence of Latacunga,Independencia de Latacunga,FALSE
2017-11-12,Holiday,Local,Ambato,Independence of Ambato,Independencia de Ambato,FALSE
2017-12-05,Additional,Local,Quito,Foundation of Quito-1,Fundacion de Quito-1,FALSE
2017-12-06,Holiday,Local,Quito,Foundation of Quito,Fundacion de Quito,TRUE
2017-12-08,Holiday,Local,Loja,Foundation of Loja,Fundacion de Loja,FALSE
2017-12-08,Transfer,Local,Quito,Transfer Foundation of Quito,Traslado Fundacion de Quito,FALSE
2017-12-21,Additional,National,Ecuador,Christmas-4,Navidad-4,FALSE
2017-12-22,Holiday,Local,Salinas,Cantonization of Salinas,Cantonizacion de Salinas,FALSE
2017-12-22,Additional,National,Ecuador,Christmas-3,Navidad-3,FALSE
2017-12-23,Additional,National,Ecuador,Christmas-2,Navidad-2,FALSE
2017-12-24,Additional,National,Ecuador,Christmas-1,Navidad-1,FALSE
2017-12-25,Holiday,National,Ecuador,Christmas,Navidad,FALSE
2017-12-26,Additional,National,Ecuador,Christmas+1,Navidad+1,FALSE
